graphrag-fastapi  | 2026-08-24 02:07:44,193 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,638 - neo4j.notifications - INFO - Received notification from DBMS server: <GqlStatusObject gql_status='03N90', status_description="info: cartesian product. The disconnected pattern '(src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", position=<SummaryInputPosition line=2, column=17, offset=17>, raw_classification='PERFORMANCE', classification=<NotificationClassification.PERFORMANCE: 'PERFORMANCE'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n                MATCH (src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})\n                MERGE (src)-[r:CREATED]->(tgt)\n                ON CREATE SET\n                    r.description = $description,\n                    r.evidence = $evidence,\n                    r.supporting_chunks = $supporting_chunks,\n                    r.relation_count = $relation_count,\n                    r.confidence = $confidence,\n                    r.created = $created,\n                    r.updated = $updated\n                ON MATCH SET\n                    r.evidence = r.evidence + (\n                        [e IN $evidence WHERE NOT e IN r.evidence | e]\n                    ),\n                    r.supporting_chunks = r.supporting_chunks + (\n                        [c IN $supporting_chunks WHERE NOT c IN r.supporting_chunks | c]\n                    ),\n                    r.relation_count = r.relation_count + 1,\n                    r.confidence = $confidence,\n                    r.updated = $updated\n                RETURN r\n                '
graphrag-fastapi  | 2026-08-24 02:07:44,638 - neo4j.io - DEBUG - [#9D48]  C: RUN '\n                MATCH (src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})\n                MERGE (src)-[r:RELATED_TO]->(tgt)\n                ON CREATE SET\n                    r.description = $description,\n                    r.evidence = $evidence,\n                    r.supporting_chunks = $supporting_chunks,\n                    r.relation_count = $relation_count,\n                    r.confidence = $confidence,\n                    r.created = $created,\n                    r.updated = $updated\n                ON MATCH SET\n                    r.evidence = r.evidence + (\n                        [e IN $evidence WHERE NOT e IN r.evidence | e]\n                    ),\n                    r.supporting_chunks = r.supporting_chunks + (\n                        [c IN $supporting_chunks WHERE NOT c IN r.supporting_chunks | c]\n                    ),\n                    r.relation_count = r.relation_count + 1,\n                    r.confidence = $confidence,\n                    r.updated = $updated\n                RETURN r\n                ' {'source_id': 'product:distributed system for processing financial transactions', 'target_id': 'product:blockchain technology', 'description': '', 'evidence': ['The system is related to blockchain technology through its consensus mechanisms.'], 'supporting_chunks': ['doc_4aa855901188fa80:0'], 'relation_count': 1, 'confidence': 0.5, 'created': '2026-08-24T02:07:35.181926', 'updated': '2026-08-24T02:07:35.181926'} {}
graphrag-fastapi  | 2026-08-24 02:07:44,638 - neo4j.io - DEBUG - [#9D48]  C: PULL {'n': 1000}
graphrag-fastapi  | 2026-08-24 02:07:44,783 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'t_first': 144, 'fields': ['r'], 'qid': 2}
graphrag-fastapi  | 2026-08-24 02:07:44,787 - neo4j.io - DEBUG - [#9D48]  S: RECORD * 1
graphrag-fastapi  | 2026-08-24 02:07:44,787 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'stats': {'contains-updates': True, 'relationships-created': 1, 'properties-set': 7}, 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}, {'gql_status': '03N90', 'neo4j_code': 'Neo.ClientNotification.Statement.CartesianProduct', 'status_description': "info: cartesian product. The disconnected pattern '(src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", 'diagnostic_record': {'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}}, 'description': 'If a part of a query contains multiple disconnected patterns, this will build a cartesian product between all those parts. This may produce a large amount of data and slow down query processing. While occasionally intended, it may often be possible to reformulate the query that avoids the use of this cross product, perhaps by adding a relationship between the different parts or by using OPTIONAL MATCH (identifier is: (tgt))', 'title': 'This query builds a cartesian product between disconnected patterns.'}], 'type': 'rw', 't_last': 2, 'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,787 - neo4j.notifications - INFO - Received notification from DBMS server: <GqlStatusObject gql_status='03N90', status_description="info: cartesian product. The disconnected pattern '(src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", position=<SummaryInputPosition line=2, column=17, offset=17>, raw_classification='PERFORMANCE', classification=<NotificationClassification.PERFORMANCE: 'PERFORMANCE'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n                MATCH (src:Entity {id: $source_id}), (tgt:Entity {id: $target_id})\n                MERGE (src)-[r:RELATED_TO]->(tgt)\n                ON CREATE SET\n                    r.description = $description,\n                    r.evidence = $evidence,\n                    r.supporting_chunks = $supporting_chunks,\n                    r.relation_count = $relation_count,\n                    r.confidence = $confidence,\n                    r.created = $created,\n                    r.updated = $updated\n                ON MATCH SET\n                    r.evidence = r.evidence + (\n                        [e IN $evidence WHERE NOT e IN r.evidence | e]\n                    ),\n                    r.supporting_chunks = r.supporting_chunks + (\n                        [c IN $supporting_chunks WHERE NOT c IN r.supporting_chunks | c]\n                    ),\n                    r.relation_count = r.relation_count + 1,\n                    r.confidence = $confidence,\n                    r.updated = $updated\n                RETURN r\n                '
graphrag-fastapi  | 2026-08-24 02:07:44,787 - neo4j.io - DEBUG - [#9D48]  C: COMMIT
graphrag-fastapi  | 2026-08-24 02:07:44,787 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,809 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'bookmark': 'FB:kcwQiwgsDfVyQueUVUGaJNSbh8kGApA='}
graphrag-fastapi  | 2026-08-24 02:07:44,810 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,810 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> released bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,810 - stages.graph_indexing.neo4j_client - INFO - Batch executed: 3 queries
graphrag-fastapi  | 2026-08-24 02:07:44,810 - stages.graph_indexing.graph_writer - INFO - Content relations written: 3 created, 0 updated
graphrag-fastapi  | 2026-08-24 02:07:44,810 - stages.graph_indexing.graph_writer - INFO - Write complete: 5 entities created, 0 chunks created, 3 relations created
graphrag-fastapi  | 2026-08-24 02:07:44,810 - stages.fastapi_service.main - INFO - Graph write complete: 5 entities, 3 relations, 0 chunks
graphrag-fastapi  | 2026-08-24 02:07:44,810 - stages.fastapi_service.main - INFO - Ingestion completed: job_f188cbec89f0
graphrag-fastapi  | 2026-08-24 02:07:44,810 - stages.fastapi_service.main - INFO - Ingestion processed successfully: job_f188cbec89f0
graphrag-fastapi  | INFO:     172.18.0.1:54128 - "POST /api/v1/ingest HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:51026 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | 2026-08-24 02:07:49,887 - stages.fastapi_service.main - DEBUG - Job status: job_f188cbec89f0 | completed
graphrag-fastapi  | INFO:     172.18.0.1:54908 - "GET /api/v1/jobs/job_f188cbec89f0 HTTP/1.1" 200 OK
graphrag-fastapi  | 2026-08-24 02:07:58,014 - stages.fastapi_service.main - DEBUG - Job status: job_f188cbec89f0 | completed
graphrag-fastapi  | INFO:     172.18.0.1:46826 - "GET /api/v1/jobs/job_f188cbec89f0 HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:38224 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:42008 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:59430 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:41908 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:45582 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:42728 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:39406 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:46216 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:53468 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:60472 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:39706 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:45948 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:57352 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:56294 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:46426 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:53830 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:41310 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:57896 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:39618 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:40688 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:41662 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:37322 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:33616 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:58438 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:57346 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:58766 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:50842 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:44374 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:59592 - "GET /health HTTP/1.1" 200 OK
